rank,playerName,team,position,ecr,vECR
146,Tua Tagovailoa,MIA,QB,133,-13
147,Devin Singletary,BUF,RB,113,-34
148,Phillip Lindsay,HOU,RB,129,-19
149,Carson Wentz,IND,QB,185,36
150,Hunter Henry,NE,TE,134,-16
151,Jalen Reagor,PHI,WR,159,8
152,Daniel Jones,NYG,QB,154,2
153,Amon-Ra St. Brown,DET,WR,200,47
154,Cole Kmet,CHI,TE,145,-9
155,Ryan Fitzpatrick,WAS,QB,135,-20
156,Austin Hooper,CLE,TE,155,-1
157,Derek Carr,LV,QB,156,-1
158,Rashod Bateman,BAL,WR,169,11
159,A.J. Green,ARI,WR,207,48
160,Ben Roethlisberger,PIT,QB,139,-21
161,Breshad Perriman,DET,WR,201,40
162,Parris Campbell,IND,WR,186,24
163,Anthony Firkser,TEN,TE,178,15
164,Cam Newton,NE,QB,213,49
165,Blake Jarwin,DAL,TE,153,-12
166,Malcolm Brown,MIA,RB,199,33
167,Latavius Murray,NO,RB,131,-36
168,Tre'Quan Smith,NO,WR,176,8
169,Gabriel Davis,BUF,WR,184,15
170,Adam Humphries,WAS,WR,361,191
171,Jameis Winston,NO,QB,210,39
172,Jared Cook,LAC,TE,163,-9
173,Sam Darnold,CAR,QB,173,0
174,Eric Ebron,PIT,TE,183,9
175,Rashaad Penny,SEA,RB,164,-11
176,Alexander Mattison,MIN,RB,144,-32
177,Jimmy Graham,CHI,TE,279,102
178,Zach Wilson,NYJ,QB,180,2
179,Taysom Hill,NO,QB,248,69
180,Jared Goff,DET,QB,202,22
181,Mac Jones,NE,QB,322,141
182,Tyrod Taylor,HOU,QB,314,132
183,Drew Lock,DEN,QB,285,102
184,Teddy Bridgewater,DEN,QB,287,103
