rank,playerName,team,position,ecr,vECR
146,Devin Singletary,BUF,RB,112,-34
147,Henry Ruggs III,LV,WR,147,0
148,Carson Wentz,IND,QB,175,27
149,Marquise Brown,BAL,WR,126,-23
150,Ty Johnson,NYJ,RB,237,87
151,Daniel Jones,NYG,QB,156,5
152,Salvon Ahmed,MIA,RB,196,44
153,James Conner,ARI,RB,102,-51
154,Ryan Fitzpatrick,WAS,QB,140,-14
155,Hunter Henry,NE,TE,132,-23
156,Derek Carr,LV,QB,155,-1
157,Jalen Reagor,PHI,WR,157,0
158,Amon-Ra St. Brown,DET,WR,202,44
159,Ben Roethlisberger,PIT,QB,141,-18
160,Cole Kmet,CHI,TE,143,-17
161,Austin Hooper,CLE,TE,154,-7
162,Rashod Bateman,BAL,WR,173,11
163,Cam Newton,NE,QB,234,71
164,A.J. Green,ARI,WR,205,41
165,Breshad Perriman,DET,WR,206,41
166,Parris Campbell,IND,WR,186,20
167,Anthony Firkser,TEN,TE,176,9
168,Blake Jarwin,DAL,TE,153,-15
169,Malcolm Brown,MIA,RB,198,29
170,Jameis Winston,NO,QB,181,11
171,Latavius Murray,NO,RB,139,-32
172,Sam Darnold,CAR,QB,179,7
173,Tre'Quan Smith,NO,WR,183,10
174,Gabriel Davis,BUF,WR,180,6
175,Adam Humphries,WAS,WR,354,179
176,Jared Cook,LAC,TE,159,-17
177,Zach Wilson,NYJ,QB,178,1
178,Taysom Hill,NO,QB,279,101
179,Jared Goff,DET,QB,211,32
180,Mac Jones,NE,QB,305,125
181,Tyrod Taylor,HOU,QB,307,126
182,Drew Lock,DEN,QB,308,126
183,Teddy Bridgewater,DEN,QB,245,62
184,Eric Ebron,PIT,TE,189,5
185,Phillip Lindsay,HOU,RB,129,-56
186,Rashaad Penny,SEA,RB,165,-21
187,Jimmy Graham,CHI,TE,273,86
