rank,playerName,team,position,ecr,vECR
146,Derek Carr,LV,QB,160,14
147,Henry Ruggs III,LV,WR,142,-5
148,Ben Roethlisberger,PIT,QB,157,9
149,Marquise Brown,BAL,WR,126,-23
150,Devin Singletary,BUF,RB,106,-44
151,Cam Newton,NE,QB,225,74
152,Jalen Reagor,PHI,WR,155,3
153,Jameis Winston,NO,QB,215,62
154,Phillip Lindsay,HOU,RB,118,-36
155,Sam Darnold,CAR,QB,186,31
156,Zach Wilson,NYJ,QB,182,26
157,Malcolm Brown,MIA,RB,176,19
158,Hunter Henry,NE,TE,133,-25
159,Rondale Moore,ARI,WR,172,13
160,Rashod Bateman,BAL,WR,162,2
161,Cole Kmet,CHI,TE,145,-16
162,Austin Hooper,CLE,TE,148,-14
163,A.J. Green,ARI,WR,197,34
164,Amon-Ra St. Brown,DET,WR,200,36
165,Breshad Perriman,DET,WR,193,28
166,Parris Campbell,IND,WR,183,17
167,Anthony Firkser,TEN,TE,167,0
168,Blake Jarwin,DAL,TE,147,-21
169,Nyheim Hines,IND,RB,108,-61
170,Latavius Murray,NO,RB,120,-50
171,Tre'Quan Smith,NO,WR,159,-12
172,Christian Kirk,ARI,WR,181,9
173,Gabriel Davis,BUF,WR,168,-5
174,Jared Cook,LAC,TE,144,-30
175,Eric Ebron,PIT,TE,169,-6
176,Rashaad Penny,SEA,RB,149,-27
177,Alexander Mattison,MIN,RB,130,-47
