rank,playerName,team,position,ecr,vECR
145,Ryan Fitzpatrick,WAS,QB,154,9
146,Henry Ruggs III,LV,WR,147,1
147,Taysom Hill,NO,QB,236,89
148,Marquise Brown,BAL,WR,126,-22
149,Derek Carr,LV,QB,163,14
150,Devin Singletary,BUF,RB,107,-43
151,Marquez Callaway,NO,WR,266,115
152,Ben Roethlisberger,PIT,QB,157,5
153,Jalen Reagor,PHI,WR,151,-2
154,Jameis Winston,NO,QB,233,79
155,Phillip Lindsay,HOU,RB,120,-35
156,Sam Darnold,CAR,QB,182,26
157,Zach Wilson,NYJ,QB,187,30
158,Malcolm Brown,MIA,RB,184,26
159,Hunter Henry,NE,TE,135,-24
160,Rondale Moore,ARI,WR,175,15
161,Rashod Bateman,BAL,WR,158,-3
162,Cole Kmet,CHI,TE,141,-21
163,Austin Hooper,CLE,TE,149,-14
164,A.J. Green,ARI,WR,203,39
165,Amon-Ra St. Brown,DET,WR,201,36
166,Breshad Perriman,DET,WR,190,24
167,Parris Campbell,IND,WR,176,9
168,Anthony Firkser,TEN,TE,162,-6
169,Blake Jarwin,DAL,TE,145,-24
170,Nyheim Hines,IND,RB,109,-61
171,Latavius Murray,NO,RB,115,-56
172,Tre'Quan Smith,NO,WR,156,-16
173,Christian Kirk,ARI,WR,178,5
174,Gabriel Davis,BUF,WR,166,-8
175,Jared Cook,LAC,TE,142,-33
176,Eric Ebron,PIT,TE,172,-4
177,Rashaad Penny,SEA,RB,150,-27
178,Alexander Mattison,MIN,RB,132,-46
